,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
n,Sikhem,,,"Setelah seorang pria jahat yang bernama Sikhem memperkosa putri Yakub, Dina, saudara laki-laki Dina membunuhnya.
Sebuah klan orang Kanaan disebut Sikhem.
Ada sebuah kota bernama Sikhem yang menjadi salah satu dari tujuh ""kota perlindungan"" di Israel di mana tersangka pembunuhan dapat melarikan diri untuk perlindungan.",,,GC 19-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,Domba,Domba-domba,"hewan seperti rusa (G);
","Domba adalah hewan pendiam dan pemalu yang lebih besar dari anjing. Mereka mirip dengan kambing tetapi memiliki ekor yang gemuk. Mereka tinggal dalam kawanan dan menumbuhkan bulu/wol yang panjang. Manusia memelihara domba, mencukur wolnya untuk membuat kain, dan terkadang memakan dagingnya. Orang Israel sering mengorbankan domba untuk menyembah Allah. Yohanes pembaptis dan Yohanes pewahyu menyebut Yesus Anak Domba Allah. (Yesus menyebut dirinya seorang gembala dan menyebut kita dombanya.)","gembala, kambing",,Sheep herding folk will chuckle at this.,,,,,,,,,,,,,,,,,,,,,,,,
t,Gembala,Gembala-gembala,orang yang memelihara domba (G);,"Orang-orang yang memimpin dan menjaga domba atau kambing disebut gembala. Yesus menyebut dirinya Gembala Baik kita, karena dia menuntun kita kepada Allah dan menjaga kita.","domba, kambing",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Silo,,,"Silo adalah kota kuno bertembok di wilayah Samaria, tempat orang Israel menempatkan Kemah Suci selama masa hakim-hakim. Banyak orang Israel melakukan ziarah tahunan ke Silo untuk menyembah Tuhan.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,Kapal,Kapal-kapal,"Perahu besar (G);
","Kapal adalah perahu yang sangat besar yang membawa penumpang dan kargo jarak jauh, dan berlayar di lautan atau danau yang luas.",perahu,,GC 19-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Sidon,,,"Sidon adalah kota kaya yang terletak di dekat laut, di sebelah utara Israel. Penduduk Sidon menyembah allah-allah lain. Ratu Izebel yang jahat berasal dari Sidon. Yesus pernah pergi ke sana untuk membantu seorang janda dan putrinya yang masih kecil. (Nama Sidon berarti Kota Ikan.)",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Sin,,,"Sin adalah nama sebuah padang gurun yang didiami bangsa Israel selama beberapa bulan, setelah mereka melarikan diri dari Mesir.",,,What they ate there can be learned from the story.,,,,,,,,,,,,,,,,,,,,,,,,
n,Silas,,,"Silas berasal dari Yerusalem. Dia bepergian dengan Paulus ke banyak kota di mana mereka menanam gereja baru (Kis. 15, 16, 17, 18). (Nama Silas berarti ""ahli kehutanan"".)",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,Perak,,"uang keras (G);
","Perak adalah logam cerah dan mahal yang digunakan untuk membuat cangkir, panci, mangkuk, koin, dll.",emas,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Simon,Simeon,,Ada banyak pria bernama Simon. Cara lain untuk menyebut nama itu adalah Simeon. Rasul Petrus disebut Simon dan Kefas.,,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Dosa,"berdosa, dosa-dosa, kejahatan, jahat ","perbuatan/pemikiran buruk; perilaku buruk (R);
(mengakibatkan) rasa bersalah;
melakukan hal-hal yang tidak disukai/diinginkan Allah;
Pergi ke jalan yang buruk / salah;
melakukan sesuatu yang buruk menurut Allah (G);
hal yang tidak baik (G);
","Setiap tindakan manusia yang tidak menyenangkan Allah adalah dosa. Tindakan yang melanggar hukum Allah adalah pelanggaran. Semua manusia berdosa. Setiap kali seseorang melanggar perintah Allah, dia berdosa. Baik dosa yang kecil atau dosa yang besar di mata manusia, itu tetap dosa di mata Allah. (Yesus mati di kayu salib karena dosa-dosa kita, supaya dosa-dosa kita dapat diampuni.)",benar ,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Sinai,gunung Sinai,,"Allah bertemu dengan Musa di sebuah gunung bernama Sinai di Jazirah Arab, di mana Allah menulis Sepuluh Perintah di atas batu, dan membuat perjanjian dengan orang Israel.",,,Some researchers now believe that Sinai is Jebel-Musaa (Mt. Moses) in Saudi Arabia.,,,,,,,,,,,,,,,,,,,,,,,,
n,Sisera,,,"Sisera adalah seorang panglima tentara Kanaan yang berperang melawan orang Israel ketika Debora menjadi hakim. Ketika Sisera melarikan diri dan bersembunyi di kemah seorang wanita, wanita itu, yang bernama Yael, membunuh Sisera. ",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,Budak,Budak-budak,orang yang bekerja tapi tidak dibayar (G);,"Di zaman kuno, sebagian besar negara memiliki dua jenis warga negara: orang bebas dan budak. Budak dimiliki tuan mereka, dan mereka melayani tuan mereka tanpa bayaran. Beberapa budak adalah tawanan perang, yang lain dijadikan budak karena mereka tidak dapat membayar utangnya. Jika seorang budak bisa mendapatkan dan menyimpan uang, maka dia bisa membeli kebebasannya.",hamba,increase cell size to show the definition.,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,Ular,Ular-ular,,Ular adalah binatang yang berbentuk bulat memanjang yang tidak memiliki tungkai atau kaki. Ada ular berbisa dan ular tidak berbisa. Ada jenis ular lain yang membunuh mangsanya dengan melilit dan meremasnya.,naga,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Sodom,"orang Sodom, orang-orang Sodom",,"Sodom adalah nama kota tempat tinggal Lot dan keluarganya. Kota itu terletak di dekat sebuah kota bernama Gomora. Orang-orang Sodom dan Gomora melakukan dosa seksual yang mengerikan. Karena itu, Allah menghancurkan kota-kota ini dengan api.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Salomo,,,"Salomo, yang namanya berarti Damai, adalah salah satu putra raja Daud. Batsyeba adalah ibu Salomo. Salomo menjadi raja setelah Daud, dan dialah yang membangun Bait Allah yang pertama di Yerusalem. Karena Salomo merendahkan dirinya di hadapan Allah, Allah membuatnya bijaksana dan sangat kaya. (Namun, Salomo tidak menaati Allah. Dia menikahi banyak istri dan membiarkan mereka menyembah dewa-dewa kafir.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Anak Allah,,"Allah dalam wujud manusia;
seorang pria yang adalah Allah;
","Di Israel, Allah menyebut raja-raja sebagai anak-anaknya dan dirinya sendiri sebagai Bapa mereka. Jadi, 'Anak Allah' menjadi gelar bagi raja-raja, dan 'Anak Allah' menjadi gelar bagi Raja agung yang disebut Mesias atau Kristus. (Perjanjian Baru mengungkapkan bahwa Yesus adalah Anak Allah, dan bahwa Yesus adalah Allah yang lahir sebagai manusia.)","anak manusia, Mesias",,"GC: Theologians go through all kinds of contortions to make biblical titles fit their metaphysical speculations. Whilst Jesus is truly human and well as truly God, that is not the main purpose of the title.",,,,,,,,,,,,,,,,,,,,,,,,
t,Anak Manusia,,"Manusia Surgawi; Saya, Orang yang Allah Angkat","Nabi Daniel pernah melihat suatu penglihatan tentang seseorang di surga yang tampak seperti 'anak manusia'. Anak manusia ini memiliki otoritas besar dari Allah atas semua bangsa di dunia. Kerajaan dan pemerintahannya di masa depan tidak akan pernah berakhir atau dihancurkan. Yesus sering menyebut dirinya Anak Manusia, untuk mengajarkan bahwa dia sendiri adalah orang yang dalam penglihatan Daniel yang datang dari surga dalam wujud manusia. (Kitab Wahyu menggambarkan Yesus beberapa kali sebagai Anak Manusia.)","Anak Allah, Mesias
",,"GC: Theologians go through all kinds of contortions to make biblical titles fit their metaphysical speculations. Whilst Jesus is truly human and well as truly God, that is not the main purpose of the title.
GC: Smoothed out the syntax a bit.",,,,,,,,,,,,,,,,,,,,,,,,
t,Tombak,,"panah panjang (G);
",Tombak adalah batang kayu panjang dengan ujung yang tajam. Tentara biasanya menikam atau melempar tombak ke arah musuh dalam pertempuran.,,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Roh,Roh-roh,makhluk (W);,"Roh adalah makhluk hidup yang tidak terlihat oleh kita manusia. Allah adalah Roh yang kekal, sedangkan roh-roh lain diciptakan oleh Allah. Malaikat dan setan adalah roh. Setiap manusia memiliki roh. Saat manusia mati, rohnya meninggalkan tubuhnya.","setan, roh jahat, malaikat",Other gods -> Other spirits,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Tongkat,Tongkat-tongkat,,"Tongkat adalah sepotong kayu yang kuat dan pangjang. Tongkat dipegang saat berjalan, dan bisa berfungsi sebagai senjata.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Stefanus,,,"Stefanus adalah salah satu orang Kristen pertama yang dikenal sebagai pemimpin yang bijaksana, penuh dengan (dipimpin oleh) Roh Kudus. Dia membagikan makanan kepada orang lain, dan dia berbicara dengan berani tentang Yesus. Ketika dia mengingatkan beberapa pemimpin Yahudi tentang dosa mereka, mereka membunuhnya dengan melemparkannya dengan batu besar. (Nama Stefanus berarti Mahkota.)",,He served food to others -> He distributed food to others,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Minuman keras,,"Sari ubi kayu yang difermentasi; minuman apa saja yang menyebabkan seseorang menjadi mabuk (G);
air gila (U); ",Minuman keras adalah minuman yang mengandung alkohol.,"bir, anggur ",other language: crazy water (urt),GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,belerang,,salfa (K),Belerang adalah zat berwarna kuning yang mengeluarkan nyala api yang terang saat terbakar. Belerang memiliki bau yang menyengat . ,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Pedang,Pedang-pedang,"pisau panjang/golok (G);
","Pedang adalah senjata seperti pisau yang lebih besar, lebih panjang dan kuat. Pedang digunakan tentara untuk bertarung dalam pertempuran. Pedang juga merupakan lambang kekuatan raja untuk berperang dan menghukum penjahat.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Pohon ara,,Pohon buah,Pohon ara memiliki cabang yang menyebar yang mudah dipanjat dan sering ditanam di pinggir jalan agar para pelancong bisa berteduh. Kayunya digunakan untuk bahan bakar dan perabotan.,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Rumah ibadah orang Yahudi,rumah doa orang Yahudi,"rumah untuk pemberitaan;
tempat orang Yahudi berkumpul / tempat berkumpul(G);
rumah ibadah (R); ","Rumah ibadah orang Yahudi adalah rumah pertemuan keagamaan tempat orang Yahudi berkumpul untuk membaca kitab suci, saling mengajar, berdoa dan menyembah Allah. (Tempat pertemuan Kristen disebut kapel atau gereja.)","Bait Allah, Kemah Suci",Christian synagogues -> Christian meeting places,,,,,,,,,,,,,,,,,,,,,,,,,
n,Siria,"orang Siria, orang-orang Siria",,Siria dulu dan sekarang merupakan negara di timur laut Israel. Siria dan Israel sering berperang satu sama lain sampai saat ini. Seorang perwira militer Siria bernama Naaman menyembah Tuhan setelah Nabi Elisa menyembuhkannya dari penyakit kusta.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,Kemah Suci,Kemah Pertemuan,"rumah Allah yang terbuat dari kulit;
bangunan seperti rumah (tidak terbuat dari bahan yang tahan lama) (G);
Kemah doa yang terbuat dari kulit; rumah terbuat dari kanvas (yaitu kemah) (R); ","Allah memerintahkan orang Israel zaman dahulu untuk membangun Kemah Suci yang besar dan indah, supaya kehadirannya dapat tinggal di antara mereka. Kemah Suci dibangun juga agar mereka dapat menyembah Allah dengan benar saat mereka melakukan perjalanan di padang gurun. (Setelah Salomo membangun Bait Suci di Yerusalem, Kemah Suci tidak diperlukan lagi; Bait Suci telah menggantikan Kemah Suci. Yesus menggantikan Kemah Suci dan Bait Suci.)","Bait Allah, 
Rumah ibadah orang Yahudi",,Explicitating the materials might make the word impossible to translate.,,,,,,,,,,,,,,,,,,,,,,,,
n,Tabor,gunung Tabor,,Tabor adalah gunung di Israel utara. Gunung itu menandai batas antara beberapa suku Israel.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Tamar,,,Tamar adalah anak perempuan raja Daud dan saudara perempuan Absalom.,,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Pemungut cukai,Pemungut-pemungut cukai,Orang yang mendapat/membawa pajak (R); petugas pajak (W);,"Setelah orang Romawi merebut Israel, mereka menyebutnya Yudea dan memungut pajak yang tinggi untuk semua orang. Beberapa orang Yudea/Yahudi menjadi pemungut pajak untuk orang Romawi, dan menyimpan sebagian dari uang itu untuk diri mereka sendiri. Kebanyakan orang Israel membenci pemungut pajak, dan menyebut mereka orang berdosa.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Mengajar,"guru, pengajaran, mengajarkan, ajarkan, ajarkanlah, diajarkan, ajar, ajarlah, ajaran, melatih, latih, latihlah",menunjukkan; menjelaskan; memperlihatkan,"Mengajar atau melatih berarti memberi tahu orang lain sesuatu yang bermanfaat atau benar sambil menunjukkan kepada mereka cara mematuhi atau menerapkan kebenaran itu. Yesus memerintahkan: ""Pergilah, jadikanlah semua bangsa murid-Ku dan ajarlah mereka untuk mematuhi perintah-perintah-Ku.""","preach, prophet",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Bait Allah,"rumah Tuhan, Bait Suci","rumah/gedung besar Allah (G);
rumah Allah;
tempat pertemuan untuk Allah dan manusia;
rumah/tempat ibadah besar/terutama (P); rumah pemberian (K); di dalam pagar rumah pemberian (K); tempat memuliakan (W);","Bait Allah adalah tempat orang Yahudi menyembah Allah di Yerusalem. Di sinilah penyembahan mereka kepada Allah terpusat. Di dalam sejarah orang Yahudi, hanya ada beberapa bangunan yang berfungsi sebagai Bait Allah: (1) Kemah Suci yang dibangun oleh Musa di padang gurun; (2) Bait Allah yang megah yang terbuat dari batu dan emas. Bait Allah ini dibangun oleh Raja Salomo di Yerusalem dan dihancurkan oleh Babel; (3) Bait Allah yang lebih kecil yang dibangun kembali bersamaan dengan tembok Yerusalem di bawah pimpinan Nehemia dan Zerubabel, dan kemudian diperluas oleh Raja Herodes tepat sebelum kelahiran Yesus. Bait Allah ini dihancurkan oleh orang Romawi pada tahun 70 M. (4) Tubuh Yesus disebut Bait Allah. (5) Perjanjian Baru mengajarkan bahwa orang Kristen sekarang adalah Bait Allah, karena Roh Allah berdiam di dalam mereka.
","rumah ibadah orang Yahudi, Kemah Suci",Hilkka: move this sentence to the end: Temples are houses for idols of pagan gods.... Start with: Temple is the place where…,"GC 11-Mar-2019
Shortened edit.","Temples are houses in which people pray to their gods and offer sacrifices. Pagans set up idols in their temples. God told the Israelites to set up a portable tent. Later God ordered Solomo to build a temple at Jerusalem. After the Israelites brought pagan idols into God's temple, he sent the Babylonians to destroy that first temple. Jesus body was a temple. After Israel crucified Jesus, God sent Roman armies to destroy their second temple. Since then, God says that Christians are his temple, because the Holy Spirit dwells in them.",,,,,,,,,,,,,,,,,,,,,,,
t,Berterima kasih ,"Mengucap syukur, bersyukur, syukur, syukurlah","memberi tahu seseorang bahwa sesuatu yang telah mereka lakukan itu baik (G);
Merasa senang dengan seseorang (karena mereka memberimu sesuatu) (U); ","Berterima kasih kepada seseorang berarti mengucap syukur atas perbuatan baik yang telah dilakukan seseorang. Dalam Perjanjian Lama, orang percaya berterima kasih kepada Allah dengan memberikan persembahan; dalam Perjanjian Baru kita berterima kasih kepada Allah dengan menceritakan perbuatan baiknya.","memuji, menghormati",be happy with someone (because they gave you something (urt)),"GC 23-Feb-2019 (In the NT, grace and thanks are the same Greek word.)",,,,,,,,,,,,,,,,,,,,,,,,
t,Takhta,tempat duduk raja,"tempat duduk pemimpin (G);
",Takhta adalah kursi tempat raja-raja duduk ketika memutuskan hal-hal penting. Takhta juga merupakan lambang yang berarti kerajaan atau kekuasaan yang dimiliki seorang raja. Takhta surga juga melambangkan pemerintahan Allah atas langit dan bumi.,kerajaan,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Timotius,,,"Timotius berasal dari Asia Kecil. Ketika dia masih muda, dia bepergian dengan Paulus ke banyak kota di mana mereka memulai gereja baru (Kis. 16, 17, 18, 19, 20). Paulus kemudian menulis surat kepada Timotius untuk mengajarinya cara menggembalakan jemaat. (Nama Timotius berarti ""hormatilah Allah"".)",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Titus,,,"Titus menemani Paulus ke Kreta di mana mereka memulai gereja. Setelah Paulus pergi, Titus tinggal di sana untuk melatih para pemimpin gereja yang baru. Setelah itu, Paulus menulis surat kepadanya.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,Kubur,"kuburan, kuburan-kuburan",kubur yang digali di dalam bukit batu,Kubur adalah tempat mayat dimakamkan. Orang Yahudi menguburkan orang mati di kuburan.,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,kota,kampung,,Kota terdiri dari beberapa kampung. Kampung adalah kelompok kecil rumah penduduk. ,,,GC 08-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,Harta,harta benda,,Harta benda adalah uang atau barang mahal yang disimpan di satu tempat.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Uza,,,"Raja Daud mengatur sebuah gerobak sapi untuk membawa Tabut Perjanjian ke Yerusalem setelah direbut. (Ini bukanlah cara yang ditentukan Allah untuk membawa Tabut Perjanjian.) Ketika lembu tersandung, seseorang yang bernama Uza meletakkan tangannya di atas Tabut untuk menahannya. Seketika juga Tuhan membunuh Uza, karena Tuhan melarang siapa pun menyentuh kotak itu. (Nama Uza berarti Kekuatan.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Wasti,,,"Ratu Wasti adalah istri pertama Ahasyweros, raja Persia. Raja Ahasyweros menggantikan posisi ratu Wasti dengan menjadikan Ester ratu barunya. (Nama Persia Wasti artinya Cantik.)",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Pohon anggur,"Pohon-pohon anggur, kebun anggur, pokok anggur, pokok-pokok anggur",,"Kebun anggur adalah taman tempat orang-orang menanam pohon anggur. Kebun anggur dilindungi dengan pagar batu dan dijaga. Dalam Alkitab, Allah menyebut Israel kebun anggurnya, dan Yesus menyebut dirinya pokok anggur dan para pengikutnya ranting-rantingnya.","buah anggur, anggur",,,,,,,,,,,,,,,,,,,,,,,,,,
t,Perawan,"Perawan-perawan, Gadis, gadis-gadis",gadis (W);,"Perawan adalah perempuan, tua atau muda, yang belum pernah berhubungan seks. Di istana raja, perawan adalah wanita muda yang menunggu untuk menjadi istri atau selir raja.","perempuan, istri",,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,Penglihatan,Penglihatan-penglihatan,melihat sesuatu seperti dalam mimpi (G); apa yang muncul (W);,"Penglihatan adalah seperti mimpi yang dilihat seseorang saat tidak tidur. Di dalam sebuah penglihatan, seseorang mungkin melihat orang atau benda yang pada biasanya tidak terlihat. Kitab Daniel dan kitab Wahyu menggambarkan beberapa penglihatan tentang peristiwa masa depan. Rasul Paulus melihat Yesus dalam beberapa penglihatan.",mimpi,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,Menunggu,"Ditunggu, tunggu, tunggulah",,"Menunggu orang lain berarti tetap berada di tempat yang sama sampai orang yang ditunggu itu datang. Menunggu sesuatu berarti terus mengharapkannya sampai hal itu terjadi. Menunggu Yesus datang berarti kita mengharapkan bahwa Dia akan datang kembali sambil kita hidup dengan cara yang menyenangkan Dia, sehingga Dia akan membalas perbuatan kita.",beristirahat,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,jahat,"kejahatan, fasik, kefasikan",bengkok (W);,Orang jahat adalah orang yang menyakiti orang lain karena mereka mengabaikan hukum Allah.,,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Istri,Istri-istri,"seseorang yang  dimiliki/bersama laki-laki (G);
wanita (W);","Seorang istri adalah seorang wanita yang menikah dengan seorang pria. Seorang pria yang kaya mungkin memiliki lebih dari satu istri. Istri pertama raja disebut ratu. Pada hari pernikahannya, seorang istri disebut mempelai wanita. Selain istri, ada raja yang juga memiliki selir yang anak laki-lakinya tidak bisa menjadi raja.","gundik, perempuan, perawan, gadis",,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Padang gurun,gurun,,Padang gurun adalah tanah atau daerah yang biasanya tidak ditinggali manusia karena sangat kering dan sunyi.,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,Anggur,,Sari ubi kayu yang difermentasi; minuman apa saja yang menyebabkan seseorang menjadi mabuk (G);,"Anggur (mengandung alkohol), sering diencerkan dengan air. Orang Yahudi menyajikan anggur kepada para tamu di pesta pernikahan dan selama pesta Paskah tahunan mereka. Anggur yang disajikan dalam perjamuan Tuhan adalah pengingat akan kematian Yesus.","bir, alkohol, minuman keras","Juice from grapes , often diluted with water. When fermented, wine contains alcohol. -> Fermented juice from grapes (contains alcohol),  often diluted with water. ",GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,Wanita,"Perempuan-perempuan, perempuan,  wanita-wanita ",,"Allah menciptakan pria dan wanita untuk menjadi pasangan yang setara dalam pernikahan dan dalam merawat bumi. Wanita yang sudah menikah disebut istri. Seorang budak wanita yang melahirkan anak dengan tuannya disebut selir. Sebelum menikah, seorang wanita muda disebut perawan jika dia belum pernah berhubungan seks.","istri, gundik, perawan, gadis", a young woman is called a virgin if she is has not had sex and is not pregnant. ->  a young woman is called a virgin if she has not had sex. ,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Dunia,,atmosfer / kosmos (R); addina (W dari Ar);,"Dunia bisa berarti (1) bumi tempat semua makhluk hidup, atau (2) bangsa dan pemerintahan yang memberontak melawan Allah.
","bumi, surga",,,,,,,,,,,,,,,,,,,,,,,,,,
t,Menyembah,"Disembah, penyembahan","memanggil / berdoa kepada Allah; ibadah (R);
memuji Allah;
memberikan kehormatan kepada Allah;
membungkuk di hadapan Allah;
melakukan pekerjaan/pelayanan untuk Allah;
selalu melakukan apa yang Allah inginkan (G);
Memuliakan (W)","Penyembahan adalah setiap tindakan atau kegiatan yang dilakukan manusia untuk memuliakan Allah (atau dewa/berhala). Jadi, ada banyak cara kita menyembah Allah: dengan saling melayani, dengan mengajar dan mempelajari Kitab Suci, dengan nyanyian, dengan berdoa dan dengan memberi kepada orang lain untuk memenuhi kebutuhan yang mendesak.","doa, memuji",always doing what God wants you to (G); ???,,,,,,,,,,,,,,,,,,,,,,,,,
n,Ahasyweros,,,"Gelar raja-raja Persia. Ahasyweros Agung adalah raja ke-5 Kekaisaran Persia, 486–465 SM. (Nama Ahasyweros berarti Kepala.)",raja,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Ragi,,is (transliterasi) (R); lewer (W dari Fr);,Ragi adalah bahan yang digunakan untuk membuat roti. Ini menyebabkan adonan mengembang sebelum dipanggang. Hanya sedikit ragi yang dibutuhkan untuk membuat roti dalam jumlah besar. (Ragi adalah tanaman kecil yang mengonsumsi tepung dan gula dan melepaskan gelembung udara ke dalam adonan roti.),roti,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Zakheus,,,"Nama Zakheus artinya Bersih atau Murni. Zakheus adalah seorang pemungut pajak Yahudi yang bekerja untuk pemerintah Romawi, yang menjadi kaya dengan menipu orang lain. Setelah dia bertemu Yesus, dia bertobat dari perbuatannya yang tidak jujur.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Zakharia,,,Ada beberapa orang bernama Zakharia. Salah satunya adalah raja atas Israel Utara. Yang lainnya adalah putra imam Yoyada yang bernubuat pada masa pemerintahan raja Yoas ketika Roh Tuhan turun atasnya. Yoas menghukum mati dia dengan dilempari batu. Yang lainnya adalah seorang nabi Tuhan yang menulis sebuah kitab yang berjudul dengan namanya. Yang lainnya adalah ayah dari Yohanes Pembaptis. (Nama Zakharia berarti TUHAN Mengingat.),,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Zedekia,,,"Raja Zedekia, putra raja Yoas, memerintah Yehuda di Israel selatan. Tentara Babel membutakannya dan membawanya sebagai tawanan ke Babel 586 tahun sebelum Masehi. Seorang pria lain bernama Zedekia menentang pesan yang diucapkan nabi Mikha. (Nama Zedekia berarti TUHAN itu adil.)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Zeus,,,"Zeus adalah nama dewa utama Yunani, identik dengan dewa Romawi Jupiter. Dewa / roh lain diyakini sebagai utusannya. Namanya Hermes. Ketika orang-orang kafir menjadi Kristen, mereka berhenti menyembah berhala Zeus, dan mulai berdoa kepada Allah dalam nama Yesus.",,"Zeus, who is also called Jupiter, is the name of the chief Greek and Roman god. -> Zeus is the name of the chief Greek god, identical to Roman god Jupiter. ","Both European and Semitic philosophers made out Zeus and El to be the same God that the Hebrews worshipped. Thus, some pagans turned from their idols, honouring God through his human incarnation, Jesus.",,,,,,,,,,,,,,,,,,,,,,,,
n,Sion,,,"Sion adalah nama kuno dari salah satu bukit tempat kota Yerusalem berada. Kata Sion terkadang merujuk pada (1) Yerusalem, (2) surga (tempat di mana Allah berada), dan (3) Yerusalem Baru.",Yerusalem,,"The consonants of Tsîwn can mean marker stone, along a road or at a grave site.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
