, term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,
t,ओमेगा ,"ज़ेड, ज़ी",Omegaa (R); finisher; ,"ओमेगा ग्रीक वर्णमाला के अंतिम अक्षर का नाम है। ओमेगा का अर्थ है बड़ा O। प्रकाशितवाक्य की पुस्तक में यीशु को अल्फ़ा और ओमेगा, यानी आरंभ और अंत (अर्थात, सृष्टिकर्ता और मुक्तिदाता) कहा गया है।",,
t,राज मेहल ,राज मेहल ,"the big house of the real cheif (G); 
",एक राजा का बहुत बड़ा घर.,,
t,स्वर्ग,,God's gathering place (W); Paradais (k); God's living place (G); ),"स्वर्ग एक यूनानी शब्द है जिसका अर्थ है ""सुंदर बगीचा।"" (मूर्तिपूजक इस नाम का प्रयोग अपने देवताओं के निवास स्थान के लिए करते थे।) नए नियम में, स्वर्ग का अर्थ है (1) स्वर्ग में वह स्थान जहाँ दिवंगत (मृत) विश्वासी जाते हैं, और (2) भविष्य की नई पृथ्वी - स्वर्ग जहाँ विश्वासी हमेशा के लिए निवास करेंगे।",,
t,मोती ,,"valuable stone inside a clamshell (R), egg of kina shell (R); (valuable) stone inside a clamshell (K); a very good stone called per (G); ","मोती एक महँगा रत्न है जो समुद्र से आता है। (ये सीपियों में पाए जाते हैं, जब रेत का कोई कण उनके खोल के अंदर चला जाता है, तो वे एक दूधिया सफेद पदार्थ का स्राव करते हैं जो रेत को कई बार ढक देता है ताकि जलन न हो। मोती, गोल और चमकदार होने के कारण, हार और गहने बनाने में इस्तेमाल होते हैं।)",,
t,फिरौन,फिरौन,Pero (in Egypt) (K); king over Egypt; head man of Egypt (U),फिरौन वह नाम है जो प्राचीन मिस्रवासी अपने राजाओं को देते थे। प्रत्येक फिरौन का एक व्यक्तिगत नाम भी था। धनी फिरौन वह नाम है जो प्राचीन मिस्रवासी अपने राजाओं को देते थे। प्रत्येक फिरौन का एक व्यक्तिगत नाम भी था। धनी फिरौन ने अपने लिए विशाल कब्रें बनवाईं और अपने लिए विशाल कब्रें बनवाईं।,,
t,"सूअर, ",सूअर,,"सूअर, जिन्हें स्वाइन भी कहा जाता है, छोटे कद के, मज़बूत जानवर होते हैं जो लगभग कुछ भी खा लेते हैं और अपनी त्वचा को नम रखने के लिए कीचड़ में लोटना पसंद करते हैं। परमेश्वर के नियम के अनुसार इस्राएलियों को सूअर का मांस (सूअर का मांस) खाने से मना किया गया था।",,
t,महामारी ,महामारी ,,महामारी कोई भी बीमारी या संक्रमण है जिसका एक ही समय में कई लोगों पर विनाशकारी प्रभाव पड़ता है।,,
t,कुंड,,water (G); ,आमतौर पर यह एक मानव निर्मित गड्ढा होता है जिसमें नहाने के लिए पानी भरा होता है।,,
t,ओसारा,,place near the door (G); ,घर के बाहर लेकिन दरवाजे के पास एक मंच।,,
t,प्रशंसा,प्रशंसा,"to speak well of (G); 
magnify (W);","प्रशंसा तब होती है जब हम दूसरों को बताते हैं कि किसी और ने कैसे अच्छे काम किए हैं। हम परमेश्वर की स्तुति यह बताकर करते हैं कि उसने हमारी प्रार्थनाओं का उत्तर कैसे दिया। ईसाई अक्सर गीतों और संगीत के माध्यम से परमेश्वर की स्तुति करते हैं, और बताते हैं कि वह कितना महान है।",,
t,प्रार्थना ,"प्रार्थना, प्रार्थना करता है, प्रार्थना कर रहा है, प्रार्थना की","to speak to God (G); 
plead (W);","प्रार्थना का अर्थ है किसी शक्तिशाली मनुष्य या देवता से बात करना या उनसे विनती करना। यीशु ने ईसाइयों को आज्ञा दी थी कि वे यीशु के नाम का प्रयोग करते हुए, अक्सर परमेश्वर से प्रार्थना करें।",,
t,उपदेश देना ,"उपदेशक, उपदेश, उपदेश दिया","tell God's beautiful word (G); 
",उपदेश देने का अर्थ है दूसरों को कोई संदेश देना या कोई कहानी सुनाना जो उन्होंने पहले न सुनी हो।,,
t,याजक ,याजक ,"giving to God one (R); priest (transliterated) (G); 
sacrificer (W);","याजक धार्मिक नेता होते हैं जो (1) बलिदान चढ़ाते हैं, (2) व्यवस्था सिखाते हैं, (3) विवादों में मध्यस्थता करते हैं, (4) चंगाई की पुष्टि करते हैं, और (5) मंदिर और उसकी संपत्ति का प्रबंधन करते हैं।",,
t,वादा ,"वादे, वादा किया","placing a thing by words / mouth;
tell what one is going to do in the future (G); promise (R);","वादा एक अच्छा काम होता है जिसके बारे में कोई कहता है कि वह बाद में करेगा। परमेश्वर हमेशा वही करेगा जिसका उसने वादा किया है। परमेश्वर के कुछ वादे सशर्त होते हैं, यानी वे इंसानों से पहले कुछ करने की माँग करते हैं। ""अगर (शर्त) तुम कबूल करोगे कि यीशु प्रभु हैं, तो (वादा) तुम बच जाओगे।""",,
t,भविष्यवाणी,भविष्यवाणियाँ,talk of prophet (R); speak words from God (W);,"भविष्यवाणियाँ वे संदेश हैं जो परमेश्वर ने किसी व्यक्ति को दूसरों को बताने के लिए प्रकट किए हैं। कुछ भविष्यवाणियाँ पापियों को पश्चाताप करने की चेतावनी देती हैं, कुछ भविष्यवाणियाँ मार्गदर्शन या शिक्षा प्रदान करती हैं, और कुछ भविष्यवाणियाँ भविष्य की घटनाओं के बारे में बताती हैं। (बाइबल में सैकड़ों भविष्यवाणियाँ हैं।)",,
t,भविष्यवाणी करना ,"भविष्यवाणी करना, भविष्यवाणी की, भविष्यवाणी करता है",talk of prophet (R); touch God's words (W),"भविष्यवाणी करना परमेश्वर  की सहायता से बोलना है, दूसरों को मज़बूत करना है, उन्हें दिलासा देना है, और उन्हें बढ़ने में मदद करना है। (चूँकि भविष्यवाणी करने वाले गलतियाँ कर सकते हैं, इसलिए दूसरों को सत्य और त्रुटि दोनों में अंतर समझना चाहिए।)",,
t,भविष्यवक्ता,भविष्यद्वक्ता,"teller of God's word (G); 
person to whom God gives words (D); 
God's mouth (spokesperson);
a human messenger for God or gods/idols;
way-goer (W); poropet (K)","भविष्यवक्ता वे पुरुष या स्त्री होते हैं जिन्हें ईश्वर ने इतना वरदान दिया है कि वे ईश्वर के संदेश बोल सकते हैं। कुछ इब्रानी भविष्यवक्ताओं ने पुराने नियम की पुस्तकें लिखीं। ईसाई भविष्यवक्ता ऐसे संदेश बोलते हैं जिनसे ज़रूरत पड़ने पर दूसरों को मदद मिलती है। (ईसाई भविष्यवक्ताओं से गलतियाँ हो सकती हैं, इसलिए उन्हें सीखने के लिए हमेशा तैयार रहना चाहिए।)",,
t,भजन,,Songs of Dewid (R); song (G); ,"भजन इब्रानी भाषा में लिखी कविताएँ या गीत होते हैं। अक्सर, भजन की एक पंक्ति को दूसरी पंक्ति में अलग-अलग शब्दों का प्रयोग करके दोहराया जाता है। भजनों में स्तुति, प्रार्थना, विलाप, शाप, शिक्षा और भविष्यवाणियाँ व्यक्त की जा सकती हैं। (यहूदी और ईसाई अक्सर अपनी उपासना में भजन गाते हैं।)",,
t,,,"clean (R); not any dirty behaviour (R); 
behaviour straight in God’s eyes (K), no dirtiness in it (K);",,,
t,रब्बी ,,"my Teacher; Teacher (R, W);",रब्बी का अर्थ है मेरा गुरु। आधिकारिक यहूदी शिक्षकों को रब्बी या रेब्बी कहा जाता है। मेरे गुरु कहने का एक ज़्यादा सम्मानजनक तरीका रब्बोनी हुआ करता था। ईसाई शिक्षकों को आमतौर पर पादरी कहा जाता है।,,
t,लाल सागर ,,Red Sea (R);,"लाल/रीड सागर मिस्र और कनान जाने वाली सड़क के बीच स्थित है। जब इस्राएली फिरौन की सेना से भाग रहे थे, तो परमेश्वर ने उनके लिए इस सागर से होकर रास्ता खोला था।
रेड शब्द रीड की वर्तनी में ग़लत हो सकता है, क्योंकि हिब्रू में इसे रीड्स सागर कहा जाता है।",,
t,क्षेत्र,"क्षेत्र, प्रांत","land (G);
","किसी देश के अंदर ज़मीन का कोई भी विस्तृत क्षेत्र, क्षेत्र या क्षेत्र कहलाता है। प्रांत वह क्षेत्र होता है जिसकी सीमाएँ, नाम और सरकार निर्धारित होती है।",,
t,पश्चाताप ,"पश्चाताप किया, पश्चाताप कर रहा है, पश्चाताप करता है","turning away from wrong things/action and turning to God;
be sad about the bad things you have done. Stop doing them. (G);
think-turn (R); ","पश्चाताप का अर्थ है पलटकर विपरीत दिशा में बढ़ना; अपने व्यवहार में बदलाव लाना। जब मनुष्य पश्चाताप करते हैं, तो वे परमेश्वर की आज्ञा मानने के लिए अपने विश्वासों और कार्यों को बदलने का चुनाव करते हैं। जब परमेश्वर पश्चाताप करते हैं, तो वे पश्चाताप करने वाले दुष्टों को दण्ड न देने का चुनाव करते हैं, या उन विश्वासियों की सहायता न करने का चुनाव करते हैं जो उनकी अवज्ञा करते हैं।",,
t,विश्राम,"विश्राम किया, विश्राम करता है, विश्राम कर रहा है",,"विश्राम का अर्थ है कड़ी मेहनत से विराम लेना। परमेश्वर की व्यवस्था के अनुसार, सभी को सब्त के दिन या हर सप्ताह के सातवें दिन विश्राम करना आवश्यक था। विश्राम (1) इस्राएलियों के कनान पहुँचने का प्रतीक भी है, और (2) विश्वासियों के भविष्य के जीवन का प्रतीक भी है जब परमेश्वर उनके विश्वास और आज्ञाकारिता का प्रतिफल देगा।",,
t,नेक,"धार्मिकता, अधिकार","being true/right/worthy in God's eyes;
very good (G);straight (R, W);
good ones (G);
","परमेश्वर धर्मी है क्योंकि वह हमेशा वही करता है जो सही, अच्छा और न्यायपूर्ण है। यीशु धर्मी था क्योंकि उसने पूरी तरह से परमेश्वर की आज्ञा मानी और कभी पाप नहीं किया। परमेश्वर हम विश्वासियों को धर्मी मानता है, क्योंकि वह हमारे सभी पापों को क्षमा करता है और हमें धर्मी यीशु का सदस्य मानता है। (परमेश्वर के पास पूर्ण धार्मिकता है, जबकि हमें आरोपित/प्रतिस्थापन धार्मिकता प्राप्त होती है।)",,
t,दंगा ,"दंगे, दंगा",,दंगा तब होता है जब भीड़ या भीड़ हिंसक हो जाती है और दूसरों को या उनकी संपत्ति को नुकसान पहुंचाने की कोशिश करती है।,,
t,विश्राम का दिन ,,rest; cease work; Day of Sabat (K);,"सब्बाथ एक इब्रानी शब्द है जिसका अर्थ है विश्राम या काम बंद करना। संसार की रचना के बाद, परमेश्वर ने (और बाद में मूसा के नियम ने) प्रत्येक सप्ताह के सातवें दिन को विश्राम के लिए, सामान्य परिश्रम के लिए नहीं, बल्कि विशेष रूप से विश्राम के लिए सब्बाथ का दिन घोषित किया। पर्व और त्यौहार भी सब्बाथ के दिन थे। (यीशु के समय में, यहूदियों ने सब्बाथ के दिन काम न करने के कई और नियम बना दिए थे। यीशु अक्सर उन नियमों को तोड़ते थे।)",,
t,बलिदान ,बलिदान,"offer of a slaughtered animal;
giving your life or goods to another (G);gift that is habitually cooked (R); ","बलिदान कोई भी कीमती वस्तु है जिसे कोई व्यक्ति ईश्वर के सम्मान में मार डाले, जला दे या चढ़ा दे (रख दे/दे)। हालाँकि मूसा की व्यवस्था में इस्राएलियों को पापों के प्रायश्चित के लिए बलिदान चढ़ाने की आवश्यकता थी, फिर भी कोई भी ईश्वर का धन्यवाद करने के लिए बलिदान चढ़ा सकता था। (चूँकि यीशु पापों के लिए अंतिम बलिदान के रूप में मरे हैं, इसलिए ईसाई ईश्वर की आराधना, स्तुति, धन्यवाद और अपने शरीर को जीवित बलिदान के रूप में अर्पित करते हैं।)",,
t,संत,संतों,"one whom God rules, one whom Jesus rules (G); ",संत का अर्थ है एक पवित्र व्यक्ति जो यीशु में विश्वास के माध्यम से ईश्वर का सदस्य है। प्रेरित अक्सर उन ईसाइयों को संत कहकर संबोधित करते थे जिन्हें वे पत्र लिखते थे।,,
t,पवित्र करना ,पवित्र,"make one a person who really obeys God (G); 
cleans (W);","पवित्र करने का अर्थ है किसी चीज़ या व्यक्ति को और अधिक पवित्र बनाना, या स्वयं को, किसी चीज़ या व्यक्ति को परमेश्वर को समर्पित करना। परमेश्वर की पवित्र आत्मा मसीहियों में निवास करके उन्हें पवित्र करती है।",,
t,महासभा,,meeting (R); people of meeting (R); gathering of leaders (W);,"यीशु के समय में, यहूदी धर्म और मामलों पर शासन करने वाली 71 पुरुषों की एक परिषद, महासभा थी। इनका नेतृत्व यहूदी महायाजक करता था। (महासभा ने फैसला सुनाया कि यीशु को मृत्युदंड दिया जाना चाहिए, और बाद में पौलुस को भी मृत्युदंड दिया गया।) (महासभा ने यीशु को रोमियों के पास भेजा ताकि वे उसे सूली पर चढ़ा दें।)",,
t, उद्धारकर्ता,,"Cause-live One (R); the who saves/delivers (us) (G); 
","परमेश्वर इस्राएलियों का उद्धारकर्ता था, जिसने उन्हें अक्सर उनके शत्रुओं से बचाया। यीशु सभी मनुष्यों का उद्धारकर्ता है, जो शैतान की शक्ति से, परमेश्वर के क्रोध और न्याय से, अनन्त मृत्यु से, और नरक से उन सभी को बचाता है जो विश्वास के साथ उसे पुकारते हैं। (यही कारण है कि नया नियम कहता है कि ईसाई बचाए जाते हैं।)",,
t,राज-दंड,,"ruling stick (G);
",राज-दंड एक छड़ी या गोला [छड़ी पर गेंद] होता है जिसे राजा कानून बनाते या निर्णय लेते समय अपने हाथों में रखते हैं। राजदंड शाही अधिकार का प्रतीक है।,,
t,लेखक,"लेखकों,शास्त्री ","teacher of people (G);
cultural law expert;
person who teaches people cultural law; teacher of the laws (R);
an educated person who can write documents/books {for others);
repeater (W)","शास्त्री वे लोग थे जो बाइबल की प्रतिलिपियाँ बनाते थे, बाइबल का अध्ययन करते थे और दूसरों को बाइबल सिखाते थे। यीशु और प्रारंभिक कलीसिया के समय में, कई यहूदी शास्त्री यीशु और उनके प्रेरितों का विरोध करने के लिए फरीसियों के साथ मिल गए।",,
t,लिपटे हुए कागज़ का मुट्ठा,लिपटे हुए कागज़ का मुट्ठा,"a rolled up book; 
paper rolled up (G);
",स्क्रॉल चमड़े (या पपीरस) का एक लंबा टुकड़ा होता है जिस पर लोग शब्द लिखते थे। वे इसे मोड़कर सुरक्षित रखते थे और फिर इसे खोलकर पढ़ते थे। किताबें कागज़ के कई छोटे-छोटे टुकड़े होते हैं जो एक किनारे से बंधे होते हैं। स्क्रॉल किताब बनाने का एक पुराना तरीका या रूप है। स्क्रॉल एक मुड़ी हुई किताब होती है। किताब एक तरफ से बंधे हुए चपटे पन्नों का ढेर होती है।,,
t,सागर ,समुंदर ,big water/river (G); ,"पृथ्वी का आधे से ज़्यादा हिस्सा गहरे खारे पानी से ढका है। गहरे पानी के विस्तृत हिस्सों को समुद्र या महासागर कहते हैं। मनुष्य पानी पर तैरने वाली बड़ी नावों, जिन्हें जहाज़ कहते हैं, से समुद्र पार यात्रा कर सकते हैं।",,
t,सेप्टुआजेंट,,,"सेप्टुआजेंट, जिसका अर्थ है 70, पुराने नियम का यूनानी भाषा में अनुवाद है। येशु मसीह से लगभग 330 वर्ष पूर्व, यूनानियों ने इज़राइल और मिस्र पर विजय प्राप्त की, जहाँ बहुत से यहूदी रहते थे। जब यहूदियों ने यूनानी भाषा बोलना शुरू किया, तो उनमें से 70 ने पुराने नियम का हिब्रू से यूनानी भाषा में अनुवाद किया। (नए नियम में अक्सर हिब्रू के बजाय सेप्टुआजेंट से आयतें उद्धृत की जाती हैं।)",,
t,सेवक ,सेवकों,one who works for someone (G); ,"एक सेवक  किसी और की मदद करता है या उसके लिए काम करता है। नौकर (1) वे लोग हो सकते हैं जो वेतन पर काम करते हैं, (2) एक बंदी दास या कर्ज़दार हो सकता है जिसे बिना वेतन के काम करने के लिए मजबूर किया जाता है, (3) वे लोग हो सकते हैं जो अपने स्वामी के लिए स्वतंत्र रूप से काम करते हैं क्योंकि वे उससे प्रेम करते हैं। एक शक्तिशाली व्यक्ति के लिए काम करने वाले नौकर उन गरीब लोगों से ज़्यादा महत्वपूर्ण थे जो नौकर नहीं थे। भविष्यवक्ताओं और ईसाइयों को प्रभु के सेवक कहा जाता है क्योंकि वे प्रभु की, जो उनके स्वामी हैं, स्वतंत्र रूप से सेवा करते हैं।",,
t,शर्म,"शर्मिंदा, शर्मिंदा करता है, शर्मनाक","be ashamed (G); 
",शर्म एक ऐसी भावना या भाव है जो अपराधबोध से उत्पन्न होती है। दूसरों को शर्मिंदा करने का अर्थ है उनके द्वारा किए गए बुरे कार्यों के बारे में बताना। मनुष्य तब शर्मिंदगी या लज्जा महसूस करते हैं जब वे दृढ़ता से चाहते हैं कि उन्होंने कुछ गलत न किया होता या जब वे गलत या बुरे साबित होते हैं। यीशु हमारी शर्मिंदगी दूर करने के लिए हमारे लिए मरे ताकि हम क्षमा और प्रेम का अनुभव कर सकें।,,
t,भेड़ ,,"sipsip (K); sip (R); deer-like animal (G); 
","भेड़ें शांत और शर्मीले जानवर होते हैं, कुत्तों से बड़े। ये बकरियों जैसे होते हैं, लेकिन इनकी पूँछ मोटी होती है। ये झुंड या झुंड में रहते हैं और इनके लंबे बाल/फर/ऊन होते हैं। इंसान भेड़ पालते हैं, कपड़ा बनाने के लिए उनकी ऊन काटते हैं, और कभी-कभी उनका मांस भी खाते हैं। इस्राएली अक्सर परमेश्वर की आराधना के लिए भेड़ों की बलि चढ़ाते थे। नर भेड़ को मेढ़ा कहा जाता है। मादा भेड़ को भेड़ कहा जाता है। बच्चे भेड़ को मेमना कहा जाता है। यूहन्ना बपतिस्मा देने वाले और यूहन्ना प्रकाशितवाक्य ने यीशु को परमेश्वर का मेमना कहा। (यीशु ने खुद को चरवाहा कहा और हमें अपनी भेड़ें कहा।)",,
t,चरवाह,चरवाहों,"one who takes care of sheep (G); 
","जो लोग भेड़ों या बकरियों की अगुवाई और रक्षा करते हैं, उन्हें चरवाहा कहा जाता है। यीशु ने खुद को हमारा अच्छा चरवाहा कहा, क्योंकि वह हमें परमेश्वर के पास ले जाता है और हमारी देखभाल करता है।",,
t,जहाज ,जहाजों ,"big canoe (G);
","जहाज बहुत बड़ी नावें होती हैं जो यात्रियों और माल को लंबी दूरी तक ले जाती हैं, और समुद्र या विशाल झीलों पर चलती हैं",,
t,चांदी,,"hard money (G); 
","चांदी एक चमकदार, महंगी धातु है जिसका उपयोग कप, बर्तन, कटोरे और सिक्के बनाने के लिए किया जाता है।",,
t,पाप ,"पाप करना, पाप, पाप किया, दुष्टता, बुराई,","bad doings/thinking; bad behaviour (R);
(resulting in) guilt;
doing things that God does not like/want;
following bad/wrong ways;
doing something that God thinks is bad (G);
not-good thing (G); 
","हर मानवीय कार्य जो परमेश्वर को अप्रसन्न करता है, पाप है। परमेश्वर के नियमों का उल्लंघन करने वाले पाप, उल्लंघन हैं। मानवीय नियमों का उल्लंघन करने वाले पाप, अपराध हैं। सभी मनुष्य जो बचपन से ही जीवित रहते हैं, पाप करते हैं। जब भी कोई व्यक्ति परमेश्वर की किसी आज्ञा का उल्लंघन करता है, तो वह पाप है। चाहे वह मनुष्य की दृष्टि में छोटा हो या बड़ा, परमेश्वर की दृष्टि में वह पाप ही है। (क्योंकि यीशु हमारे पापों के कारण क्रूस पर मरे, इसलिए परमेश्वर हमारे सभी पापों को क्षमा कर सकते हैं।)",,
t,गुलाम ,"दास, बंधुआदास","one who works for nothing/without pay (G); 
","प्राचीन काल में, अधिकांश देशों में दो प्रकार के नागरिक होते थे: स्वतंत्र व्यक्ति जो किसी और के नहीं होते थे, और दास या बंधुआ दास जो किसी और के होते थे और जिनकी वे बिना वेतन के सेवा करते थे। कुछ दास युद्ध बंदी होते थे, जबकि अन्य को इसलिए गुलाम बनाया जाता था क्योंकि वे अपना कर्ज नहीं चुका पाते थे। अगर कोई दास पैसा कमाकर बचा सकता था, तो वह अपनी आज़ादी खरीद सकता था।",,
t,साँप ,"साँप, सर्प",,"साँप लंबे, पतले जानवर/जानवर होते हैं जिनके पैर या पंजे नहीं होते। कुछ साँप दूसरे जानवरों को ज़हर देकर काट लेते हैं। कुछ दूसरे जानवरों को अपने चारों ओर लपेटकर और उन्हें दबाकर मार देते हैं।",,
t,परमेश्वर का पुत्र ,परमेश्वर का पुत्र ,"God in human form; Child of God (R, W);
a man who is God; God!;
God's Son (G) (Mark 15:39);
","इस्राएल में, परमेश्वर ने राजाओं को अपना पुत्र और स्वयं को उनका पिता कहा। इस प्रकार, 'परमेश्वर का पुत्र' राजाओं के लिए एक उपाधि बन गया, और 'परमेश्वर का पुत्र' उस महान राजा के लिए एक उपाधि बन गया जिसे मसीहा या क्राइस्ट कहा जाता है। (नया नियम प्रकट करता है कि यीशु परमेश्वर का पुत्र है, और यीशु ही मानव शरीर में जन्मे परमेश्वर हैं।)",,
t,मनुष्य का पुत्र ,"मनुष्य का पुत्र, मानवजाति का पुत्र, मानव का पुत्र","son of a human; Child of Man (R);
Man's Son (G); 
the Human One;
the Heavenly Man;","भविष्यवक्ता दानिय्येल ने एक बार स्वर्ग में किसी ऐसे व्यक्ति का दर्शन देखा जो 'मनुष्य के पुत्र' जैसा दिखता था, और जिसे परमेश्वर की ओर से संसार की सभी जातियों पर महान अधिकार प्राप्त था। उसका भावी राज्य और शासन कभी समाप्त या नष्ट नहीं होगा। यीशु ने अक्सर स्वयं को मनुष्य का पुत्र कहा ताकि यह सिखाया जा सके कि वह स्वयं दानिय्येल के दर्शन का व्यक्ति है जो मानव देह में स्वर्ग से आया है। (प्रकाशितवाक्य की पुस्तक में यीशु का कई बार मनुष्य के पुत्र के रूप में, विश्वासियों के बीच और एक कटाई करने वाले के रूप में वर्णन किया गया है।)",,
t,भाले,,"long arrow (G);
",भाले ऐसे हथियार होते हैं जिनमें एक लंबी लकड़ी की छड़ और एक नुकीला सिरा होता है। सैनिक युद्ध में दुश्मनों पर भाले चलाने या फेंकने के लिए इनका इस्तेमाल करते थे।,,
t,पवित्र आत्मा,"दुष्ट आत्मा, राक्षस, दुष्ट आत्माएँ, शैतान, राक्षसी",creature (W);,"आत्माएँ जीवित प्राणी हैं जो हम मनुष्यों के लिए अदृश्य हैं। ईश्वर शाश्वत आत्मा है। अन्य आत्माएँ ईश्वर द्वारा निर्मित छोटी आत्माएँ हैं। देवदूत और राक्षस आत्माएँ हैं। प्रत्येक मनुष्य एक आत्मा और एक दृश्यमान शरीर दोनों है। जब मनुष्य मर जाता है, तो उसकी आत्मा तब तक भूत बन जाती है जब तक उसे नया शरीर नहीं मिल जाता।",,
t,लाठी ,लाठीया ,,"लाठी लकड़ी का एक लंबा, मजबूत टुकड़ा होता है जिसे कोई व्यक्ति चलते समय पकड़ता है, जो एक रक्षात्मक हथियार के रूप में काम कर सकता है।",,
t,मजबूत पेय ,शराब,"fermented manioc juice, any drink that causes drunkenness (G);
crazy water (U); ",मजबूत पेय कोई भी तरल पेय है जिसमें अल्कोहल होता है।,,
t,गंधक,गंधक,salfa (K),गंधक या गंधक एक पीले रंग का पदार्थ है जो तेज लौ के साथ जलता है और इसकी गंध बहुत तेज होती है।,,
t,तलवार,तलवारें ,"long knife/machete (G);
","तलवारें मज़बूत, लंबी चाकू होती हैं जिनका इस्तेमाल सैनिक युद्ध में करते थे। तलवार राजा की युद्ध करने और अपराधियों को दण्ड देने की शक्ति का भी प्रतीक है।",,
t,गूलर,,"fig tree; tree (R);
fruit tree",गूलर एक प्रकार का अंजीर (फल) का पेड़ है। इसकी शाखाएँ फैली हुई होती हैं जिन पर चढ़ना आसान होता है और इसे अक्सर सड़कों के किनारे यात्रियों को छाया प्रदान करने के लिए लगाया जाता था। इसकी लकड़ी का उपयोग ईंधन और फर्नीचर बनाने के लिए किया जाता था।,,
t,आराधनालय,,"house for proclaiming;
place where Jews gathered together / gathering place(G);
house of worship (R); ","आराधनालय का अर्थ है एक साथ आना। आराधनालय धार्मिक सभा स्थल होते हैं जहाँ यहूदी बाइबल पढ़ने, एक-दूसरे को शिक्षा देने, प्रार्थना करने और ईश्वर की आराधना करने के लिए एकत्रित होते हैं। (ईसाई सभा स्थलों को चैपल या चर्च कहा जाता है।)",,
t,तम्बू ,"पवित्र तम्बू, सभा का तम्बू, ","skin/leather house of God;
house-like building (not made of durable material) (G); 
skin prayer-tent; house of canvas (ie tent) (R); ","तम्बू का मतलब है बड़ा तम्बू। परमेश्वर ने प्राचीन इस्राएलियों को एक सुंदर, ले जाने योग्य तम्बू बनाने का आदेश दिया था, ताकि उनकी उपस्थिति उनके बीच रह सके और उनके साथ डेरा डाल सके। साथ ही, ताकि वे जंगल में यात्रा करते समय उसकी उचित उपासना कर सकें। (जब सुलैमान ने यरूशलेम में एक मंदिर बनवाया, तो तम्बू की ज़रूरत नहीं रही; मंदिर ने तम्बू की जगह ले ली। यीशु ने तम्बू और मंदिर दोनों की जगह ले ली।)",,
t,कर वसूलने वाले ,कर वसूलने वाला ,ones who get/carry fees (R); taxer (W);,"रोमियों ने इज़राइल पर कब्ज़ा करने के बाद, इसे यहूदिया नाम दिया और सभी पर भारी कर लगा दिए। कुछ यहूदी/यहूदी रोमियों के लिए कर वसूलते थे और उसका कुछ हिस्सा अपने पास रख लेते थे। ज़्यादातर लोग कर वसूलने वालों से नफ़रत करते थे और उन्हें पापी कहते थे।",,
t,सिखाना ,"शिक्षक, पढ़ाना, सिखाया, सिखाता है, प्रशिक्षित करना",make read (W);,"सिखाना या प्रशिक्षित करना दूसरों को कोई उपयोगी या सच्ची बात बताना है और साथ ही उन्हें यह भी सिखाना है कि उस सच्चाई का पालन कैसे करें या उसे कैसे लागू करें। यीशु ने आज्ञा दी: ""जाओ और दूसरों को मेरी आज्ञाओं का पालन करना सिखाकर चेले बनाओ।""",,
t,मंदिर,"मंदिर,
परमेश्वर  का घर,","big house/building of God (G); 
house of God;
meeting place for God and people;
big/primary worship house/place (P); house of giving (K); inside the fence of the house of giving (K); magnify-place (W);","मंदिर वह स्थान है जहाँ ईश्वर (देवता) और लोग मिलते हैं। यहूदियों के लिए, यरूशलेम में स्थित केवल एक ही मंदिर था। यहीं पर उनकी ईश्वर की उपासना केंद्रित थी। ऐतिहासिक रूप से, केवल कुछ ही [यहूदी] मंदिर रहे हैं: (1) जंगल में मूसा द्वारा निर्मित चमड़े का तम्बू; (2) यरूशलेम में राजा सुलैमान द्वारा निर्मित और बेबीलोन द्वारा नष्ट किया गया राजसी पत्थर और सोने का मंदिर; (3) नहेमायाह और जरुब्बाबेल के शासनकाल में यरूशलेम शहर के साथ पुनर्निर्मित छोटा मंदिर और फिर यीशु के जन्म से ठीक पहले राजा हेरोदेस द्वारा इसका विस्तार किया गया। इस मंदिर को 70 ईस्वी में रोमियों ने नष्ट कर दिया था। (4) यीशु का शरीर एक ""मंदिर"" था (एक ऐसा स्थान जहाँ ईश्वर और मानवता मिले थे)। (5) नया नियम सिखाता है कि ईसाई अब ईश्वर के मंदिर हैं, क्योंकि उनकी आत्मा उनमें निवास करती है।
मंदिर मूर्तिपूजक देवताओं की मूर्तियों के घर होते हैं।",,
